Ticker,Sector
COMB.N0000,Banks
HNB.N0000,Banks
SAMP.N0000,Banks
NDB.N0000,Banks
DFCC.N0000,Banks
SEYB.N0000,Banks
NTB.N0000,Banks
PABC.N0000,Banks
UBC.N0000,Banks
DIAL.N0000,Telecommunication Services
SLTL.N0000,Telecommunication Services
NEST.N0000,"Food, Beverage & Tobacco"
CARG.N0000,"Food, Beverage & Tobacco"
LION.N0000,"Food, Beverage & Tobacco"
DIST.N0000,"Food, Beverage & Tobacco"
CTC.N0000,"Food, Beverage & Tobacco"
MELS.N0000,"Food, Beverage & Tobacco"
JKH.N0000,Capital Goods
HHL.N0000,Capital Goods
SPEN.N0000,Capital Goods
HAYL.N0000,Capital Goods
CARS.N0000,Capital Goods
RICH.N0000,Capital Goods
AEL.N0000,Capital Goods
TKYO.N0000,Materials
RCL.N0000,Materials
ACL.N0000,Materials
MGT.N0000,Consumer Durables & Apparel
ODEL.N0000,Retailing
LOLC.N0000,Diversified Financials
CFIN.N0000,Diversified Financials
AAIC.N0000,Insurance
CINS.N0000,Insurance
EXPO.N0000,Transportation
